Tweet,Label,char_length,word_count
kaget banget,Fear,12,2
cium pipi kanan kau senyum pesona campur malu,Fear,45,8
kalau nak sniff sekarang kene hati hati takut kepam,Fear,51,9
kenapa jadi ramai kaget mana qrt ghaibnya,Fear,41,7
bertahuntahun tahan hubung kamu sama pacar kamu aman lancar ada kendala kamu bucin banget tiap lihat crush kamu langsung pikir usaha tetap dekat takut lewat batas teman,Fear,168,27
nonton ulang video got step back dance practice mvnya taeyon elegan banget pindah pinggir tengah pas lihat seulgi wah buset pindah lari pojok kanan tengah khawatir kesandung loh,Fear,177,28
nonton drama sama mama terus kiss scene panik,Fear,45,8
jadi malu,Fear,9,2
kepleset depan abang gojek sakit malu,Fear,37,6
ngeri angine soalna jeng wkwk takut sakit,Fear,41,7
iya kucing oyen galak banget betina takut,Fear,41,7
mau tanyain kabar takut ganggu,Fear,30,5
jangan lupa ingat ayang buat makan minum takut keselek ayangnya,Fear,63,10
lebih takut lihat bird jepang ketemu bam,Fear,40,7
orang kata simpan sikit takut esok nak haha,Fear,43,8
wah iya ngeri nih tim sama mas,Fear,30,7
kaget kekeyi wkwk,Fear,17,3
iya sana takut,Fear,14,3
temen kosku habis ikut venue kan acara prodinyaa balik kos meriang nular satu kosan sekarang juga pilek meriang buhu jadi takut,Fear,127,21
yang takut,Fear,10,2
begitu lah hidup cluster coronces tiap hari panik selalu yang positif,Fear,69,11
ngeri banget temenmu nder,Fear,25,4
kaget loh kak msi pagi,Fear,22,5
idih nuning kabur space ciba takut yah,Fear,38,7
resign tempat kerja kok deg-degan takut kalau ketemu mantan bos jalan kenapaa,Fear,77,12
jaga takut die terjun itu huhu,Fear,30,6
pede buat mens team takut kesandung wkwk cmn kayany grup neraka sih inimah,Fear,74,13
malu banget kalau ingat momen jaman main rupiah,Fear,47,8
hahahaa takut anak galak,Fear,24,4
mau obat takut banget,Fear,21,4
takut banget ada tempat nyaman buat cewek cowok memang otak sangean semua pindah negara rasa begitu kurang lebih,Fear,112,18
mens team yakin lolos nya saya ragu kalau well are the best that,Fear,64,13
kena razia rok plisket padahal ngerazia pakai rok plisket kating takut kalah saing padahal ada niat nyaingin contoh,Fear,115,18
asma kambuh bain minum obat takut teler kantor,Fear,46,8
ngeri banget emak omel omel mahmud buat edukasi cara ngedidik anak haha,Fear,71,12
takut mau nge nyaa,Fear,18,4
yang jalan mah biasa cuma kadang kasihan keluarga takut malu,Fear,60,10
takut banget kaoru ngentott,Fear,27,4
orang indonesia takut kali cuma rasa takut agama baru paksa percaya rokok ada label orang sakit tulis bunuh tetap konsumsi terus celaka banyak motor usernya makin banyak ada bom deketinkontenin,Fear,193,30
tegang real,Fear,11,2
tegang banget kak santuy santuy,Fear,31,5
grub ngeri kali,Fear,15,3
nikah habis baca malah jadi takut,Fear,33,6
ngeri,Fear,5,1
coy ngeri sekomplek wkwk sehat mat,Fear,34,6
orang dulu siap mesyuarat satu kampung nak tentu tarikh nikah takut tindih susah orang kampung nak datang rewang,Fear,112,18
takut,Fear,5,1
kalian sudah bster efek bagaimana masih lama jadwal cuma kok takut mau ambil bster berfikir bster efek lebih horor yang pertama,Fear,127,21
takut tenggelam laut luka,Fear,25,4
minta kritik saran worth kalau jadi ready sedia takut malah flop tia,Fear,68,12
jangan malu,Fear,11,2
iya sih ciwi ciwi agak naik turun jadi saling takut,Fear,51,10
mohon jangan lihat rep dulu malu untung apus,Fear,44,8
sih maluklo digituin,Fear,20,3
yakin ilangin mie ayam ragu,Fear,27,5
wordle kaget sendiri bisabisanya tebak tiga langsung keluar,Fear,59,8
sir baik kena balik panggung mimpi ngerikuang kuang kuang,Fear,57,9
mvs euphoria sender baru namatin kok rou mau naik kereta barang jules terus pas eps mcky beneran ituin sama temen nya depan cassie sender kaget banget,Fear,150,26
takut tekuk ngepas banget sizenya,Fear,33,5
pasar emang segitu kaget,Fear,24,4
bisa komen sih takut salah kata cuma agak bagaimana,Fear,51,9
tuhanpengen pacar takut ujung malah manfaat anak orang kan karma,Fear,64,10
mau duluin asa sendiri takut kecewa,Fear,35,6
lho kaget baru sadar,Fear,20,4
niat mau bikin thy tvvn tahan lagi bimbang ragu,Fear,47,9
ngeri ekspedisi apa aman sekarang,Fear,33,5
takut malam,Fear,11,2
serius jadi kaget,Fear,17,3
mau komen takut wkwk,Fear,20,4
group ngeri allah,Fear,17,3
kaget langsung bener,Fear,20,3
kalau jidat sering tempelin kaca kondisi nungguin walhasil kaca berembunnjuk panik nyariin tisu,Fear,95,13
tiap wtm nunggu lta satu sisi fmc nya sudah ganti jadi sabar ngeri wuaduu,Fear,73,14
trivia being deadass tidak pernah dugem wkwk takut ngebungkus laki orang,Fear,72,11
katla wordle hari bikin tegang semua,Fear,36,6
kalau bener semua takut,Fear,23,4
ngeri quote gaib,Fear,16,3
kompak niyee kaget heran geram tidak asing telinga,Fear,50,8
ngeri ngeri sedep,Fear,17,3
fakta bahagia kenal saya bahagia ketemu bahkan jauh saya rasa bahagia yah walaupun kadang khawatir and cemburu cuma saya terlalu sayang sama yang takut hilang,Fear,158,25
acc besar moa banyak rest moga cepat balik yaa duhh takut rada pikir sedikit trauma,Fear,83,15
takut sama sembi,Fear,16,3
alhamdulillah drawnya wangi tetap takut,Fear,39,5
bayang langsung panik,Fear,21,3
kaget banget tbtb jamet,Fear,23,4
saya bilang ibu wkaka takut diboleih,Fear,36,6
kalau claimnya independent wanita khawatir,Fear,42,5
kazuha ganti yae alias takut ttp percaya diri,Fear,45,8
takut kaya dulu wey,Fear,19,4
lah kann salty ngapa saya baru twt kaget anjir,Fear,46,9
haduh takut viral sama komentar nih like sama yang komen jadi banyak banget busetdahh,Fear,85,14
emang tidur selalu malam pulang malam jam pagi sih alhamdulillah bisa tidur situasi begitu soal lebih takut manusia hantu amit kalau situ manusia intip baru tuh bisa tdur kan rem bgtt,Fear,183,31
tidurr takut bablas soal bentar mau bimbing ajar,Fear,48,8
alamak ngeri kali,Fear,17,3
rau konflik antara dayak sama bugis jadi khawatir ada ayah mana handphonenya aktif telepon ayah,Fear,95,15
chat mita whatsapp official hatihati akun palsu mengatasnamakan bank mandiri minta data rahasia moga sehat selalu tkskareen end,Fear,127,18
jadi ragu,Fear,9,2
masih kaget,Fear,11,2
garagara ramai soal kolbuk panik anjrit,Fear,39,6
allah takut kalau host main ratio sama fanbase kpop,Fear,51,9
yaallah mika angkasa kaget kira cium biasa anjg kebun aakghhghg,Fear,63,10
kaget banget tbtb mas crush ucap aaosjskajskansnsj sygnya acar orang bagaimana dong tidak baper,Fear,95,14
tambah ngeri,Fear,12,2
ngeri banget orang belah,Fear,24,4
wkwk ngeri kali gaga,Fear,20,4
belum mulai mules takut block,Fear,29,5
kerja yoel takut amuk duluan,Fear,28,5
kamu takut tidak,Fear,16,3
jangan terlalu banyak kepo kurang kepo cek urg mah takut jatuh cinta awas kamu cinta,Fear,84,15
bingung takut panik,Fear,19,3
ikrr haha takut betul baca semua replies dekat post,Fear,51,9
takut puasa sah,Fear,15,3
pertama kali beli kolbuk lucu bgtt rada ragu buat makenya,Fear,57,10
kak cuma kaget,Fear,14,3
untuk ask bvyer kalau minta over bvdget boleh abar maaf kak over bvdget sih takut tidak enak ada saran kalimat buat blsnya,Fear,122,22
ngeri euy,Fear,9,2
anjir jun malu banget terus diapain habis,Fear,41,7
hari pakai baju pink sama celana item takut dikatain blackpink,Fear,62,10
kamu kesan kaya butuh dude istg its not bcs jangan butuh kamu smth cuma mau dikatain matre mending beri bapak ibu mereka lebih pantas dapetin kalau mau beliin saya sesuatu tapi jangan sering sering takut beban,Fear,209,36
masalah apa tigrealnya bagai user tigreal malu banget,Fear,53,8
ngeri canda nya,Fear,15,3
ngeri yaa,Fear,9,2
panik landa,Fear,11,2
tempat aman perempuan jadi makin takut korban keras perempuan makin banyak orang tolol biadab bngt owasu,Fear,104,16
kamu punya pacar tbtb orang kamu suka kamu jadiin crush kamu bisa apa apa mau selingkuh rasa kalau asa kamu bisa diboongin usaha hapus asa malah tidak tahan mau lapor ayang takut malah buang,Fear,190,34
poca tanggal sama moots takut awkward,Fear,37,6
nang bgttttttt malu senang kaget jadi satu amatt,Fear,48,8
malu japp sshh berapa haribulan ngomong ngomong,Fear,47,7
tiba tiba banget kaget,Fear,22,4
ngeri brodi kapal belah,Fear,23,4
rep bro takut sesal belakang,Fear,28,5
malu benar benar malu,Fear,21,4
pen nyoba takut aneh rasa rate cil rasa,Fear,39,8
takut nak amik spm nak habes cepat,Fear,34,7
turut sih iya kalau jelek selesai tuh bikin marahmarah bahas banyak kalau jelek seperti shit malu banget yaudalah,Fear,113,18
kaget kirain bakal zonk ehh ayang pulang,Fear,40,7
masih kaget serius,Fear,18,3
ajar atur sinus cosinus segitiga apa reflek jawab segitiga sembarang segitiga abc pulsa malu banget tidak salah kan shshsksjsjjh malu mana jawab cepat bgtt,Fear,155,24
ajg banget mau litsus bukan disemangatin elah kan takut banget,Fear,62,10
sini enak banget sih bos keluargnya tau bagaimana kalau doi beneran kerja tempat bener profesional kaget sih wkwk bagus,Fear,119,19
rada ngeri yaa stranger,Fear,23,4
bisa banget nyetel takut feel gonna cry,Fear,39,7
anjwengg panik sedikit,Fear,22,3
takut wkwk,Fear,10,2
jangan deh kalau balik takut muncul perang dunia,Fear,48,8
ahaha betuls takut waktu kemarin pede salah nah yang sekarang bener,Fear,67,11
kok nyempil ngeri,Fear,17,3
ngeri banget sih,Fear,16,3
bonceng bcs sekarang suka bodoh kalau lampu merah kadang labas untung masih hidup terus capek bawa motor sndri rada takut nyebrang kalau modal nekat,Fear,148,24
malu banget tadi nang dipergokin ibu,Fear,36,6
dari kemarin kepala pusing badan pegal pegal flu terus hari tenggorok mulai sakit yaa takut bangett,Fear,99,16
saja melet kaget akk,Fear,20,4
takut kalau egois,Fear,17,3
panik banget tadi akun logout sendiri,Fear,37,6
takut banget galak,Fear,18,3
mau tertawa takut,Fear,17,3
kalau hockey summer lihat lah seperti pas oper oper pucknya tuh bisa ngepas mana kan lari sana sini lihat takut kepleset,Fear,120,21
temu menfess saya banget ragu mau rep,Fear,37,7
bukan deng wkwkw kaget banget anjir mana rompi osisnya mirip belakang gedung mirip pas lihat badgenya bukan sekolah,Fear,115,18
takut anjir,Fear,11,2
hari belum kerja tugas samsek malas banget takut numpuk malas,Fear,61,10
asli orang jarang banget telpon orang tua kalau jauh belakang ingin denger suara terus walaupun mau nang kalau telepon sedikit bikin tenang habis kelar telepon cemas,Fear,165,26
walaupun danpuspom anak buah emang kamu kebal hukum tugas puspom lihat kamu jendralnya lihat kasus hukum bilang dung emang takut kerangkeng,Fear,139,21
mau bar bar agak takut kak,Fear,26,6
salkir orang astagfirullah malu,Fear,31,4
wkwkw infp bener bgtt gelisah gelisah panik tetap haduh sebentar lah main farmville dulu duh ngantuk yaudahlah tidur dulu,Fear,121,19
gila malu banget lah,Fear,20,4
rodo ngeri sedep bismillah semangat garuda muda,Fear,47,7
ngeri,Fear,5,1
ngeri tetap semangat gurls,Fear,26,4
takut banget lohh cacing panas ahah,Fear,35,6
malu banget idm masuk cowok,Fear,27,5
mulai kepala nyutnyutan begini ngeri ledak sih,Fear,46,7
pano anj kaget,Fear,14,3
takut blunder yajane nik bek kanan dolop lebih baik,Fear,51,9
benar pak richi rasa sama ibel takut,Fear,36,7
gantung kali nder ruang kan pakai biasa terus kelas sedikit takut ganggu lain sih kalau buka fresh care wangi nyegrak banget masuk hidung,Fear,137,23
takut tinggal ayang,Fear,19,3
jangan sini malu,Fear,16,3
emang dulu bgitu takut sama virus sungguh sangat percaya diri beneran alhamdulillah sehat terus,Fear,95,14
takut tabok,Fear,11,2
iya sih kalau pakai jubah nonton sendiri malu kalau sama temen agak tolong,Fear,74,13
takut habis barbar,Fear,18,3
jiahaha biasa curhat cewek dimedsos kasihan istri tanggung malu kampung,Fear,71,10
pernah dijelasin emang ngeri sih tapi kepo banget haha,Fear,54,9
panas kali hari degan banget bun ngeri step,Fear,43,8
malu banget anjirr tadi yang teriak misi paket sudah buru mau buka pintu kirain paket sudah datang tau paket rumah belah,Fear,120,21
kata admin seluruh warga somethinc panik huft,Fear,45,7
mau tidur takut bablas,Fear,22,4
zam ngapain saya takut anying,Fear,29,5
banyak follow takut limit,Fear,25,4
jends kalian yang pernah nyoba skintific moist bagus gas mau beli masih ragu soal harga lumayann,Fear,96,16
iya makanya takut banget,Fear,24,4
chat sama bina deg deg takut,Fear,28,6
iya sis takut gosong soal kalau balik,Fear,37,7
ada hantu rem psikopat ada sekitar bisa bunuh kapan saya baru eps lebih ngeri hantu vibesnya,Fear,92,16
biyen smp sma paling senang olahraga dadi khawatir sih nek kokon roll depan belakang,Fear,84,14
masyaallah allah awal suka dengerin lagu lagu klasik pas jelang mau tidur terus temen bilang bagaimana kalau kamu tinggal tin kpop bukan quran takut,Fear,148,24
anjerr ngeri boss,Fear,17,3
takut takut,Fear,11,2
srs rasa nak main member haha takut nak mintak,Fear,46,9
papua takut langgar ham kata nya dung dung berani sama rakyat sipil tidak senjata banyak banyak istighfar lihat nya,Fear,115,19
gegara bom tidur panik akun ltmpt panik jurus kuliah,Fear,52,9
anj suara deep banget takut,Fear,27,5
sih malu soal pakai baju haram biasa pergi pakai baju,Fear,53,10
takut,Fear,5,1
tim zombie meningoy takut dapat univ pen tep rebah,Fear,50,9
iya bener soal takut lupa takut lama bingung terus kasihan antri,Fear,64,11
mens team ngeri banget,Fear,22,4
ngeri makam satu liang,Fear,22,4
saya kalau reflek tuh suka malu maluin diri sendiri,Fear,51,9
belum bentar aksjsj takut limit,Fear,31,5
indy malu ubun ubun,Fear,19,4
bused ngeri pemberitahuannya,Fear,28,3
kemarin yang sanding bung karno munarman sekarang gilir haikal oceh ttg bung karno lihat struktur sistematis nuansa adu domba pdip nasionalis lain ngamuk pula nuansa abur sejarah ngeri,Fear,184,28
iya dulu ifnt banyak muncul variety shows lvlz lumayan meski lama mulai kurang tidak ngerti deh balik layar apa soal dunia showbiz kadang ngeri banget kompetisi,Fear,160,26
wkwkkw malu bat anjg bilang kangen kangen tidak yang peduli,Fear,59,10
iya ngeri banget keluar usus mata colok badan potong tangga,Fear,59,10
anjir takut diomelin,Fear,20,3
kerja disemangatin sama cantik belum mandi gara gara takut beku,Fear,63,10
yang punya kejut mei,Fear,20,4
non moots allah bye malu,Fear,24,5
takut banget kepala pusing tenggorok mulai serak badan hangat untung maju teknologi tahun selamat anak kos seperti terimakasih gomart,Fear,133,19
jujur juga panik bikin ingat rasa sakit apa lama minggu,Fear,55,10
malu,Fear,4,1
pisang kopi klotok takut copid,Fear,30,5
kaget kirain akun temen sama ava sama,Fear,37,7
ngeri banget seperti drama thriller psikopat,Fear,44,6
takut sepi yang tidak arti,Fear,26,5
umi pagi jangan marahmarah,Fear,26,4
jangan pernah benci sama orang saja jodoh kam,Fear,45,8
iya mau jemur rumah kalau mama marah,Fear,36,7
memang banyak orang takut minta maaf bukan takut rasa rendah takut sakit hati tidak jadi rasa benci jadi hilang rasa benci hati,Fear,127,22
semua punya rasa marah sama wowo prof jangan dendam prof kan waktu milih serah semua allah kalau ingat terus jadi boleh laah prof,Fear,129,23
sabar mbak bingung mau kata apa kalau pribadi jadi mbak bakal marah besar sih,Fear,77,14
bingung banget barcode apa kira shopping soal kalau kesal badmood suka jajan lantai nyata self harm astaga,Fear,106,17
ayo mam dulu reonnya marah,Fear,26,5
nnti acar acar marah kak,Fear,24,5
rem banget ego tuhditambah saya rasa bodoh parah tidak mudeng kalau the tag kan mereka ada tertawa haha hihi kalau ego tuh full begitu rem bbuanget nya lima,Fear,156,28
jangan marah osah,Fear,17,3
qaqa jangan marah marah takut cepat tua,Fear,39,7
dong marah nya,Fear,14,3
mohon yah tuh benci banget kalau rapi tiba tiba kebelet berak,Fear,61,11
mau marah lucu banget jika masuk teel orang saya maloe,Fear,54,10
ingat pas lsp ngejurnal manual arus kas lancar komputer lancar gilir uji teori zonk banget tiba orang bodoh wkwkw,Fear,113,19
mau marah lihat orang pakai filter mata banyak muka yaallah merinding,Fear,69,11
kalau tembak pacar marah,Fear,24,4
nervous bodoh,Fear,13,2
mampus latih dance pasti marah banyak izin,Fear,42,7
kak baru rumah jam pagi kyinya fix ngantuk banget kuat melek tadi kirain malam wkwk mino kamu benci,Fear,99,18
koyok dendam deh nih kocheng grgr mau subuh kancing lawang,Fear,58,10
njir sakit tenggorok enak badan tulang linu jadi berfikir kena cvd ngeri,Fear,72,12
bulan enak ati,Fear,14,3
tidak pakai niacinn yang botol ungu gila banget kaget langsung cerah sekali pakai ngeri,Fear,87,14
laku buat jual sih kalau ada take least abar calon buyernya biar samasama enak kalau samasama ghosting bagaimana wkwk ngeri,Fear,123,20
kamu luar kalau mbakas bersih enak jadi yang bersihin tiap minggu yaa bareng jadi kurang privasi kamu dalem privasi jaga malam usah keluar kamar kamar kecil jadi lembab rawan binatang kecil bau huhu kalau rajin bersihin,Fear,219,36
cerah apa buat hari saya mau jtp lucu kalau hujan terus gagal,Fear,61,12
kalau sosis rebus enak nugget aneh sih,Fear,38,7
feelingku enak emang sama wkwk,Fear,30,5
mjb janji jiwa nya biar dua hari enak rasa basi,Fear,47,10
hack tolongin banget hati sudah enak minggu yang lalu,Fear,53,9
kalau mall suka enak sama baru nge pel tidak jalan akhir jalan jungkit sama bilang maaf mas mbak,Fear,96,18
asa enak mau pergi padahal,Fear,26,5
enak banget tinggal tempat orang,Fear,32,5
duren kalau langsung enak kalau olah baru enak takut cium bau,Fear,61,11
benar bagus cuma sellernya galak jadi ngeri,Fear,43,7
tau aneh banget kok orangorang banyak suka sama,Fear,47,8
takut banget serius enih tempat curhat saya suka lupa mau curhat,Fear,64,11
sini cengeng suka misuh tiap hari keluh bom kalau ngomong kasar jadi tau asli mana takut kalau temen makin nyaman sama jadi kalo temen yang saya ajak sini know percaya them,Fear,172,31
lain hand berani nonton kira kau rumah meski suka banget lagu musikal selain omicron takut mental health jadi bagi plot,Fear,119,20
pernah minta nebeng emang ditawarin dan tidak enak soal waktu ada temen cerita sebel banget minta ditebengin mulu mentang arah jadi suka pikir kalau nebeng berat apa enggak,Fear,172,28
biasa diam banget kalau tibatiba oversharing kadang suka kontrol terus akhir sesal cerita jadi takut,Fear,100,15
pikir ung rela suka sama yeon lama banget yak padahal dari jaman kapan tau emang yeon cuma buat choi ung paket per utama akan tiba moveon orang yeon eman waktu mas,Fear,163,31
rem banget miochan nyata suka makan dinosaurus,Fear,46,7
sumpah bukan nyaman cuma takut malah suka sama kamu kamu tidak peka sih kak jadi lebih diem tuh biar tidak jatuh lebih jauh,Fear,123,23
nah iyaa kaget banget terus berfikir kok dia suka sama,Fear,54,10
bukan suka sama seriesnya iya akting bagus soundtracknya bagus cit rem rem banget,Fear,81,13
tempat kaos kaki suka banget amburadul gulung habis cuci jadi pagi pagi buru buru kadang berfikir pas kelas baru sadar trobos sih panik,Fear,135,23
dulu begini sampek kaya suka sama rumput apalgi tajem takut nyaman geli hassembuh lah poko wkwk,Fear,95,16
jap bingung crush kan status ada siapa sayang padahal tahu suka and kalau nak cakap lupa tengok status hari,Fear,107,19
berani ucap senang ulang tahun cowok suka anj kalau pikir pikir sekarang dulu saya bodoh banget anj padahal sempat emass,Fear,120,20
terkadang suka khayal tani doi wisuda beh bahagia banget kali yak rasa wkwk takut kalau akhir bukan yang tani,Fear,109,19
zoo anabul kecil tetangga tidak mau diem kadang suka tbtb masuk rumah kadang suka pup teras rumah apa sering kasih makan jadi,Fear,125,22
aquarius pintar bohong the point banget kadang untuk the point itu suka bikin sakit hati jadi takut ketemu,Fear,106,18
ayah suh bawa exora hostel memang kelat muka guwe bukan enggak suka takut drivenya malah mobil nya gedek banget,Fear,111,19
banget beliin layout kapel buat acar virtual masalah brdua suka layout mati lampu,Fear,81,13
kalau terlalu pait sukaa kalau pait banget tidak suka wkwk takut sama rasa pait soal,Fear,84,15
deg-degan banget hari ampun moga lancarsinyal kerjasama mohon tablet jangan suka tiba nomor connection salam sehat waras semua,Fear,126,18
minder anjir kalau suka sama orang habis bagaimana selalu suka sama santri fisik pada akhlakless begini jadi lebih nyaman cinta diam wkwk begitu doi pernah lihat saya nyedot tijus pakai selang apa tidak tambah jijay,Fear,215,35
sering sampai hari pun suka kaya tidak tau suka takut begitu kalau malam beuh kadang deg degan banget mana bahagiain ortu makin makin takut,Fear,139,24
langsung unfoll loh nyata alas orang tidak suka sama sekarang jelas banget orang bikin ngeri,Fear,92,15
takut banget kamu suka orang huhu,Fear,33,6
aaakk sama banget kaya temen sma dia teriak sekolah minta cutter buat bundir astagah legend banget masalah dia putus sama cowonya terus cowonya suka sama cewek ngeri bangettt,Fear,174,28
baru nyadar dulu suka banget beli boneka babi jadi numpuk lemari begini astaga,Fear,78,13
haha bener dit jangan pasang muka judes dong kalau lihat sama mas kan enak kan suka sama kamu kaget banget cuy lho temennya cakep semua kok sih naksir sama remah roma kelapa saya begini kan rada pakai sense,Fear,206,38
hai mau tanya sekalipun minta juga tetap kasih surat lamar kerja beda body email sama surat lamar kerja apa soal masih suka susah bedain saya lama kirim file body email lamar kerja takut salah,Fear,192,34
iya sering terus suka berfikir berapa bayi lahir hari random banget njir,Fear,72,12
tidak sih cewek tulus saya takut patah hati,Fear,43,8
filter orang orang toxic suka urus hidup orang parah banget ngeri,Fear,65,11
mau tanggal februari jangan anehaneh yah pas valentine hari soal tidak suka sama scorpio banget nih,Fear,99,16
gataunyaa emang suka dikerasin bahkan suka buat rada lebam anw akting keren banget sih sini tidak bohong jadi bawa rasa rasa jadi dom sub jadi penasaran plus ngeri geli,Fear,168,29
sering banget typo allah mana kalau typo suka sadar kayak typo jalan ninjaku,Fear,76,13
mbakk kalau jadi kamu bakal malu banget sihh coba bikin kalimat minta maaf dulu terus habis rest hehe moga blunder soal lihat tweet kamu akhir suka blunder,Fear,155,27
mau tanya kalian lebih suka bawa kalau tuh umur bright lebih tua jadi manggil kakak bimbang banget,Fear,98,17
takut banget kalau nikah keluarga suka terus cuma datang langsung pergi kaya tamu kalau kan kesan suka emang lihat,Fear,114,19
suka kaget luka cakar kucing sendiri cuma kadang tidak ingat terus pas elus kaki luka lintang nyata cakar kucing pagi ada dua mana besar banget anjir fix kucing paling besar,Fear,173,30
suka kadang asa ngomong sama dahyun soal mirip banget sama dahyun raguragu,Fear,74,12
jangan jatuh cinta suka sakit hati,Fear,34,6
begini mamah nya sering banget minta temenin pergi nyuruh main rumah padahal mamah tau sudah tidak bareng asa takut takut bikin risih pasang doi nanti akhir suka cari alesan dan aga beri space,Fear,192,33
mah masa tiap hari sama kadang nih pagi ngapain tetap logout makanya suka deg-degan banget takuut,Fear,97,16
boleh bonceng cowok cewek kalau bukan saudara aneh banget sih turut soal kan banyak nih cowocowo suka baik hati nawarin bonceng soal emang baik begitu teman masa bisa sih ngomong ngomong sekolah negeri,Fear,201,33
kcg rumah kemanamana sama mama terus leher kaya luka apa suka gelut diajarin mama masa sih kcg ngomong ngomong itu saya pegang posisi nyaman bentar kok,Fear,151,26
jangan pernah kamu siain kamu kecewain kamu sakitin orang sayang sudah nyaman sama kamu orang kamu suka jangan,Fear,110,18
kalau lagi marah omong pedas banget suka banting barang apa yang dekat,Fear,70,12
tuh tidur cepat selalu bisa selalu tenang tidak boleh saya buat tidur kadang suka bangun lah bangunbangun pusing juga gegara begadang mata jadi lihat capek banget sama kantong mata item banget,Fear,192,31
terus tadi sempet stalk nya terus kamu tau tidak sengaja click like anjir allah langsung mau hilang bumi terus kalau sekolah kan suka papas saya suka nyapa takut duh bagaimana cara kenal nya kasih tips dong,Fear,206,36
tau dari kecil takut banget sama laut lebih suka bukit gunung sebenernya suka banget kan dingin tidak kuat dingin takut pingsan dingin,Fear,134,22
orang suka banget ujar benci pikir asa orang tuh sedih pikir gituu jadi takut makin banyak orang jahat,Fear,102,18
iya njir deobo ada kabar samsek kawtir,Fear,38,7
harap demam biasa takut copid,Fear,29,5
sekarang tidak berani nntn sendiri bioskop padahal dulu biasa biasa ajj,Fear,71,11
moga baik baik,Fear,14,3
sabtu pagi bukan kabar gembira malah kabar bikin deg degan alias jadwal uji sekolah sama ukk bulan depan,Fear,104,18
telepon contoh biasa tapi kalau ketemu jantung tidak aman,Fear,57,9
biasa banget weekend padahal suami bangun pagi jogging nawarin mau makan apa langsung dibeliin lanjut sarap bareng kesambet apa,Fear,127,19
mulut kata jalan dulu hati ngedumel degan skip sih,Fear,50,9
kirain tidak seblak nyium aroma saja mual,Fear,41,7
singkir cup jangan canda deh kalau beri kabar tuh,Fear,49,9
karu teuing ihh maleman khawatirr ada kabar,Fear,43,7
tatap mata biasa gakk ngeri lihat,Fear,33,6
bangun bangun dapet kabar temenku positif takut jadi,Fear,52,8
hari rasa flu gejala omicron moga emang flu biasa bismillah tidak-apa-apa meski takut,Fear,85,13
saya biasa aduk takut enak,Fear,26,5
tdr kenapa bisa tenang tau hari bgun pagi tidak kasih waktu buat ngumpulin nyawa dulu pala saya suka tbtb pusing langsung gerak bantuin dan tidak-apa-apa biasa mana kalau tdr terkadang suka ajak ngobrol,Fear,202,33
pasang mudamudi nonton bioskop cewek bisik mas orang onani belah cuekin kata cowok enak mas paksa pakai tangan takut,Fear,116,19
hlt guys punya biasa ngopi tiap hari sih cuma kadang nah pagi habis ngopi bagi atas selangkang belah kanan sakitkira hubung saya buang air kenapanormal,Fear,151,25
orang rumah sakit biasa ketemu dokter lah malah takut,Fear,53,9
sekolah biasa ramai ramai makhluk kasat mata wkwkwk bikin merinding,Fear,67,10
bulan desember lalu kaget mulu kalau datang takut beri kabar mati,Fear,65,11
wowkowkwowkwowow bjimsroott ngery kabar takut nih wkkwk,Fear,55,7
sore sore harus tenang malah degan gegara dikagetin jelas,Fear,57,9
iya iyaang mau reply biasa kong saya tag bapak adetakut nganu,Fear,61,11
mohon wei baru bangun tidur tiba pas buka twitter dapet kabar denise,Fear,68,12
lah lah kaget dong kok kamu malah sedih,Fear,39,8
aneh banget perasaanya enak begini degdegkan sedih takut bismillah moga lancarr aamiin,Fear,86,12
kadang kalau malam terus kamar sunyi tiba suara cicak ngeri anjir langsung bangun,Fear,81,13
asli pikir temen sedih bisa jadi kutu beras aneh saya makin ngeri sudah,Fear,71,13
surup kalau main tempat sepi,Fear,28,5
break dulu soal mau kecewa dua kali ketemu yang benarbenar tulus,Fear,64,11
takut kecewa,Fear,12,2
pikir bikin ginian kapan tahun rasa susah cari alat bayi pakai cuma sebentar lihat kondisi daerah sini mungkin banyak sepi jasa sewa ragu,Fear,137,23
mending usah deh kecewa,Fear,23,4
yang takut kalau mulai harap sama orang takut kecewa,Fear,52,9
enak jangan sedih sedih jadi ngeri nih,Fear,38,7
sakit banyak quin masih mau periksa sebab temenin dong takut nih sepi sekali,Fear,76,13
sedikit sedih kemarin jadi tindak injeksi emang bener kata dokter sudah vakum bulan jadi kalau langsung injeksi nanti kaget malah kemarin cuma kasih obat sama salep banyak bener jadi takut sendiri,Fear,196,31
gara osd ceramah masalah otak ngiang bayang takut lama simpan sendiri bagaimana kalau digituin balik ortu bapak saya laku emak saya korban bikin sedih trauma masa kecil bekas jadi bikin,Fear,185,30
naik mobil disopirin bapak ekstrim banget mentang jalan papua sepi cepat selalu atas rasa ajak mati,Fear,99,16
rasa aib banget takut stigma orang mandang orang gila takut padahal sekarang banyak banget speak mental illnessnya masing makanya agak gedeg sama orang ngaku punya mental illness modal self diagnose sedih banget lihat,Fear,217,33
jijik sekali kesel marah sedih takut ngerrriii arghhh,Fear,53,8
hmm romance sih soal genre paling aman benar general suka family tragedy kalau butuh itu lari film jarang lari because tend expect takut kecewananti jadi senang,Fear,160,26
mana pulang kan malam jalan tbtb sepi ada lampu jalan bagaimana,Fear,63,11
takut kecewa sama ekspektasi,Fear,28,4
